SeriesId,Month,Day,BibleReading,PrimaryBookPageRange,PrimaryBookPageStart,PrimaryBookPageEnd,SecondaryBookPageRange,SecondaryBookPageStart,SecondaryBookPageEnd,SortOrder,FullTextPrimary,FullTextSecondary,SummaryPoints
2,1,1,Acts 11:4,Acts of the Apostles pp. 1-6,1,6,The Great Controversy pp. 689-691,689,691,101,Sample text from Acts of the Apostles pages 1-6. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 689-691.,"- Reading covers Acts of the Apostles pages 1-6
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,2,Acts 22:9,Acts of the Apostles pp. 7-10,7,10,The Great Controversy pp. 158-160,158,160,102,Sample text from Acts of the Apostles pages 7-10. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 158-160.,"- Reading covers Acts of the Apostles pages 7-10
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,3,Acts 1:1,Acts of the Apostles pp. 11-16,11,16,The Great Controversy pp. 357-359,357,359,103,Sample text from Acts of the Apostles pages 11-16. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 357-359.,"- Reading covers Acts of the Apostles pages 11-16
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,4,Acts 19:5,Acts of the Apostles pp. 17-20,17,20,The Great Controversy pp. 512-514,512,514,104,Sample text from Acts of the Apostles pages 17-20. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 512-514.,"- Reading covers Acts of the Apostles pages 17-20
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,5,Acts 10:7,Acts of the Apostles pp. 21-24,21,24,The Great Controversy pp. 512-515,512,515,105,Sample text from Acts of the Apostles pages 21-24. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 512-515.,"- Reading covers Acts of the Apostles pages 21-24
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,6,Acts 18:18,Acts of the Apostles pp. 25-30,25,30,The Great Controversy pp. 70-73,70,73,106,Sample text from Acts of the Apostles pages 25-30. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 70-73.,"- Reading covers Acts of the Apostles pages 25-30
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,7,Acts 27:2,Acts of the Apostles pp. 31-36,31,36,The Great Controversy pp. 28-30,28,30,107,Sample text from Acts of the Apostles pages 31-36. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 28-30.,"- Reading covers Acts of the Apostles pages 31-36
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,8,Acts 19:15,Acts of the Apostles pp. 37-42,37,42,The Great Controversy pp. 480-482,480,482,108,Sample text from Acts of the Apostles pages 37-42. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 480-482.,"- Reading covers Acts of the Apostles pages 37-42
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,9,Acts 8:6,Acts of the Apostles pp. 43-46,43,46,The Great Controversy pp. 350-353,350,353,109,Sample text from Acts of the Apostles pages 43-46. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 350-353.,"- Reading covers Acts of the Apostles pages 43-46
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,10,Acts 1:10,Acts of the Apostles pp. 47-51,47,51,The Great Controversy pp. 240-242,240,242,110,Sample text from Acts of the Apostles pages 47-51. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 240-242.,"- Reading covers Acts of the Apostles pages 47-51
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,11,Acts 17:2,Acts of the Apostles pp. 52-56,52,56,The Great Controversy pp. 626-629,626,629,111,Sample text from Acts of the Apostles pages 52-56. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 626-629.,"- Reading covers Acts of the Apostles pages 52-56
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,12,Acts 3:9,Acts of the Apostles pp. 57-61,57,61,The Great Controversy pp. 63-65,63,65,112,Sample text from Acts of the Apostles pages 57-61. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 63-65.,"- Reading covers Acts of the Apostles pages 57-61
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,13,Acts 24:7,Acts of the Apostles pp. 62-66,62,66,The Great Controversy pp. 373-375,373,375,113,Sample text from Acts of the Apostles pages 62-66. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 373-375.,"- Reading covers Acts of the Apostles pages 62-66
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,14,Acts 26:19,Acts of the Apostles pp. 67-72,67,72,The Great Controversy pp. 119-122,119,122,114,Sample text from Acts of the Apostles pages 67-72. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 119-122.,"- Reading covers Acts of the Apostles pages 67-72
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,15,Acts 26:11,Acts of the Apostles pp. 73-77,73,77,The Great Controversy pp. 447-449,447,449,115,Sample text from Acts of the Apostles pages 73-77. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 447-449.,"- Reading covers Acts of the Apostles pages 73-77
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,16,Acts 3:16,Acts of the Apostles pp. 78-83,78,83,The Great Controversy pp. 539-541,539,541,116,Sample text from Acts of the Apostles pages 78-83. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 539-541.,"- Reading covers Acts of the Apostles pages 78-83
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,17,Acts 5:12,Acts of the Apostles pp. 84-89,84,89,The Great Controversy pp. 429-431,429,431,117,Sample text from Acts of the Apostles pages 84-89. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 429-431.,"- Reading covers Acts of the Apostles pages 84-89
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
2,1,18,Acts 25:4,Acts of the Apostles pp. 90-93,90,93,The Great Controversy pp. 310-313,310,313,118,Sample text from Acts of the Apostles pages 90-93. This is placeholder content for the daily reading.,Sample text from The Great Controversy pages 310-313.,"- Reading covers Acts of the Apostles pages 90-93
- Key theme: Faith and obedience
- Application: Reflect on God's guidance"
